index,lexeme,cell,phon_form,alignment,stem,exponents,method,index,lexeme,cell,phon_form,alignment,stem,exponents,method
53362,point of no return,0,p o i n t _ o f _ n o _ r e t u r n,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,"""p o i n t _ o f _ n o _ r e t u r n""","""-""","Simple edit score, Progressive alignment",53362,point of no return,0,p o i n t _ o f _ n o _ r e t u r n,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17,"""p o i n t _ o f _ n o _ r e t u r n""","""-""","Simple edit score, Progressive alignment with LCS"
58082,ready money,0,r e a d y _ m o n e y,0 1 2 3 4 5 6 7 8 9 10,"""r e a d y _ m o n e y -""","""-""","Simple edit score, Progressive alignment",58082,ready money,0,r e a d y _ m o n e y,0 1 2 3 4 5 6 7 8 9 10,"""r e a d y _ m o n e y -""","""-""","Simple edit score, Progressive alignment with LCS"
58083,ready money,1,r e a d y _ m o n e y s,0 1 2 3 4 5 6 7 8 9 10 11,"""r e a d y _ m o n e y -""","""- s""","Simple edit score, Progressive alignment",58083,ready money,1,r e a d y _ m o n e y s,0 1 2 3 4 5 6 7 8 9 10 11,"""r e a d y _ m o n e y -""","""- s""","Simple edit score, Progressive alignment with LCS"
7601,bloody hell,0,b l o o d y _ h e l l,0 1 2 3 4 5 6 7 8 9 10,"""b l o o d y _ h e l l""","""-""","Simple edit score, Progressive alignment",7601,bloody hell,0,b l o o d y _ h e l l,0 1 2 3 4 5 6 7 8 9 10,"""b l o o d y _ h e l l""","""-""","Simple edit score, Progressive alignment with LCS"
31976,grass widow,0,g r a s s _ w i d o w,0 1 2 3 4 5 6 7 8 9 10,"""g r a s s _ w i d o w -""","""-""","Simple edit score, Progressive alignment",31976,grass widow,0,g r a s s _ w i d o w,0 1 2 3 4 5 6 7 8 9 10,"""g r a s s _ w i d o w -""","""-""","Simple edit score, Progressive alignment with LCS"
31977,grass widow,1,g r a s s _ w i d o w s,0 1 2 3 4 5 6 7 8 9 10 11,"""g r a s s _ w i d o w -""","""- s""","Simple edit score, Progressive alignment",31977,grass widow,1,g r a s s _ w i d o w s,0 1 2 3 4 5 6 7 8 9 10 11,"""g r a s s _ w i d o w -""","""- s""","Simple edit score, Progressive alignment with LCS"
72156,sultan,0,s u l t a n,0 1 2 3 4 5,"""s u l t a n -""","""-""","Simple edit score, Progressive alignment",72156,sultan,0,s u l t a n,0 1 2 3 4 5,"""s u l t a n -""","""-""","Simple edit score, Progressive alignment with LCS"
72157,sultan,1,s u l t a n a t e,0 1 2 3 4 5 6 7 8,"""s u l t a n -""","""- a t e""","Simple edit score, Progressive alignment",72157,sultan,1,s u l t a n a t e,0 1 2 3 4 5 6 7 8,"""s u l t a n -""","""- a t e""","Simple edit score, Progressive alignment with LCS"
72158,sultan,2,s u l t a n a t e s,0 1 2 3 4 5 6 7 8 9,"""s u l t a n -""","""- a t e s""","Simple edit score, Progressive alignment",72158,sultan,2,s u l t a n a t e s,0 1 2 3 4 5 6 7 8 9,"""s u l t a n -""","""- a t e s""","Simple edit score, Progressive alignment with LCS"
72159,sultan,3,s u l t a n s,0 1 2 3 4 5 9,"""s u l t a n -""","""- s""","Simple edit score, Progressive alignment",72159,sultan,3,s u l t a n s,0 1 2 3 4 5 9,"""s u l t a n -""","""- s""","Simple edit score, Progressive alignment with LCS"
50758,pecan,0,p e c a n,0 1 2 3 4,"""p e c a n -""","""-""","Simple edit score, Progressive alignment",50758,pecan,0,p e c a n,0 1 2 3 4,"""p e c a n -""","""-""","Simple edit score, Progressive alignment with LCS"
50759,pecan,1,p e c a n s,0 1 2 3 4 5,"""p e c a n -""","""- s""","Simple edit score, Progressive alignment",50759,pecan,1,p e c a n s,0 1 2 3 4 5,"""p e c a n -""","""- s""","Simple edit score, Progressive alignment with LCS"
38918,knuckle under,0,k n u c k l e _ u n d e r,0 1 2 3 4 5 9 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e -""","Simple edit score, Progressive alignment",38918,knuckle under,0,k n u c k l e _ u n d e r,0 1 2 3 4 5 9 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e -""","Simple edit score, Progressive alignment with LCS"
38919,knuckle under,1,k n u c k l e d _ u n d e r,0 1 2 3 4 5 9 11 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e d -""","Simple edit score, Progressive alignment",38919,knuckle under,1,k n u c k l e d _ u n d e r,0 1 2 3 4 5 9 11 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e d -""","Simple edit score, Progressive alignment with LCS"
38920,knuckle under,2,k n u c k l e s _ u n d e r,0 1 2 3 4 5 9 10 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e s -""","Simple edit score, Progressive alignment",38920,knuckle under,2,k n u c k l e s _ u n d e r,0 1 2 3 4 5 9 10 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- e s -""","Simple edit score, Progressive alignment with LCS"
38921,knuckle under,3,k n u c k l i n g _ u n d e r,0 1 2 3 4 5 6 7 8 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- i n g -""","Simple edit score, Progressive alignment",38921,knuckle under,3,k n u c k l i n g _ u n d e r,0 1 2 3 4 5 6 7 8 12 13 14 15 16 17,"""k n u c k l - _ u n d e r""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
37734,jigsaw puzzle,0,j i g s a w _ p u z z l e,0 1 2 3 4 5 6 7 8 9 10 11 12,"""j i g s a w _ p u z z l e -""","""-""","Simple edit score, Progressive alignment",37734,jigsaw puzzle,0,j i g s a w _ p u z z l e,0 1 2 3 4 5 6 7 8 9 10 11 12,"""j i g s a w _ p u z z l e -""","""-""","Simple edit score, Progressive alignment with LCS"
37735,jigsaw puzzle,1,j i g s a w _ p u z z l e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""j i g s a w _ p u z z l e -""","""- s""","Simple edit score, Progressive alignment",37735,jigsaw puzzle,1,j i g s a w _ p u z z l e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""j i g s a w _ p u z z l e -""","""- s""","Simple edit score, Progressive alignment with LCS"
33415,happy medium,0,h a p p y _ m e d i a,0 1 2 3 4 5 6 7 8 9 10,"""h a p p y _ m e d i -""","""- a""","Simple edit score, Progressive alignment",33415,happy medium,0,h a p p y _ m e d i a,0 1 2 3 4 5 6 7 8 9 10,"""h a p p y _ m e d i -""","""- a""","Simple edit score, Progressive alignment with LCS"
33416,happy medium,1,h a p p y _ m e d i u m,0 1 2 3 4 5 6 7 8 9 11 12,"""h a p p y _ m e d i -""","""- u m""","Simple edit score, Progressive alignment",33416,happy medium,1,h a p p y _ m e d i u m,0 1 2 3 4 5 6 7 8 9 11 12,"""h a p p y _ m e d i -""","""- u m""","Simple edit score, Progressive alignment with LCS"
33417,happy medium,2,h a p p y _ m e d i u m s,0 1 2 3 4 5 6 7 8 9 11 12 13,"""h a p p y _ m e d i -""","""- u m s""","Simple edit score, Progressive alignment",33417,happy medium,2,h a p p y _ m e d i u m s,0 1 2 3 4 5 6 7 8 9 11 12 13,"""h a p p y _ m e d i -""","""- u m s""","Simple edit score, Progressive alignment with LCS"
67111,smashing,0,s m a s h i n g,0 1 2 3 4 5 6 7,"""s m a s h i n g""","""-""","Simple edit score, Progressive alignment",67111,smashing,0,s m a s h i n g,0 1 2 3 4 5 6 7,"""s m a s h i n g""","""-""","Simple edit score, Progressive alignment with LCS"
33875,head-on,0,h e a d - o n,0 1 2 3 5 6,"""h e a d - o n""","""-""","Simple edit score, Progressive alignment",33875,head-on,0,h e a d - o n,0 1 2 3 5 6,"""h e a d - o n""","""-""","Simple edit score, Progressive alignment with LCS"
23520,early,0,e a r l i e r,0 1 2 3 9 12 13,"""e a r l -""","""- i e r""","Simple edit score, Progressive alignment",23520,early,0,e a r l i e r,0 1 2 3 9 12 13,"""e a r l -""","""- i e r""","Simple edit score, Progressive alignment with LCS"
23521,early,1,e a r l i e s t,0 1 2 3 9 12 14 16,"""e a r l -""","""- i e s t""","Simple edit score, Progressive alignment",23521,early,1,e a r l i e s t,0 1 2 3 9 12 14 16,"""e a r l -""","""- i e s t""","Simple edit score, Progressive alignment with LCS"
23522,early,2,e a r l i n e s s,0 1 2 3 9 10 12 14 15,"""e a r l -""","""- i n e s s""","Simple edit score, Progressive alignment",23522,early,2,e a r l i n e s s,0 1 2 3 9 10 12 14 15,"""e a r l -""","""- i n e s s""","Simple edit score, Progressive alignment with LCS"
23523,early,3,e a r l y,0 1 2 3 4,"""e a r l -""","""- y""","Simple edit score, Progressive alignment",23523,early,3,e a r l y,0 1 2 3 4,"""e a r l -""","""- y""","Simple edit score, Progressive alignment with LCS"
23524,early,4,e a r l y - w a r n i n g,0 1 2 3 4 5 6 7 8 9 10 11,"""e a r l -""","""- y w a r n i n g""","Simple edit score, Progressive alignment",23524,early,4,e a r l y - w a r n i n g,0 1 2 3 4 5 6 7 8 9 10 11,"""e a r l -""","""- y w a r n i n g""","Simple edit score, Progressive alignment with LCS"
71222,strained,0,s t r a i n e d,0 1 2 3 4 5 6 7,"""s t r a i n e d""","""-""","Simple edit score, Progressive alignment",71222,strained,0,s t r a i n e d,0 1 2 3 4 5 6 7,"""s t r a i n e d""","""-""","Simple edit score, Progressive alignment with LCS"
48280,offal,0,o f f a l,0 1 2 3 4,"""o f f a l""","""-""","Simple edit score, Progressive alignment",48280,offal,0,o f f a l,0 1 2 3 4,"""o f f a l""","""-""","Simple edit score, Progressive alignment with LCS"
13193,chief justice,0,c h i e f _ j u s t i c e,0 1 2 3 4 5 6 7 8 9 10 11 12,"""c h i e f _ j u s t i c e -""","""-""","Simple edit score, Progressive alignment",13193,chief justice,0,c h i e f _ j u s t i c e,0 1 2 3 4 5 6 7 8 9 10 11 12,"""c h i e f _ j u s t i c e -""","""-""","Simple edit score, Progressive alignment with LCS"
13194,chief justice,1,c h i e f _ j u s t i c e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""c h i e f _ j u s t i c e -""","""- s""","Simple edit score, Progressive alignment",13194,chief justice,1,c h i e f _ j u s t i c e s,0 1 2 3 4 5 6 7 8 9 10 11 12 13,"""c h i e f _ j u s t i c e -""","""- s""","Simple edit score, Progressive alignment with LCS"
30474,get at,0,g e t _ a t,2 4 5 12 13 14,"""- g - t - a t -""","""- e - _ -""","Simple edit score, Progressive alignment",30474,get at,0,g e t _ a t,2 4 5 12 13 14,"""- g - t - a t -""","""- e - _ -""","Simple edit score, Progressive alignment with LCS"
30475,get at,1,g e t - a t - a b l e,2 4 5 13 14 15 16 17 18,"""- g - t - a t -""","""- e - a b l e""","Simple edit score, Progressive alignment",30475,get at,1,g e t - a t - a b l e,2 4 5 13 14 15 16 17 18,"""- g - t - a t -""","""- e - a b l e""","Simple edit score, Progressive alignment with LCS"
30476,get at,2,g e t s _ a t,2 4 5 11 12 13 14,"""- g - t - a t -""","""- e - s _ -""","Simple edit score, Progressive alignment",30476,get at,2,g e t s _ a t,2 4 5 11 12 13 14,"""- g - t - a t -""","""- e - s _ -""","Simple edit score, Progressive alignment with LCS"
30477,get at,3,g e t t i n g _ a t,2 4 5 6 7 9 10 12 13 14,"""- g - t - a t -""","""- e - t i n g _ -""","Simple edit score, Progressive alignment",30477,get at,3,g e t t i n g _ a t,2 4 5 6 7 9 10 12 13 14,"""- g - t - a t -""","""- e - t i n g _ -""","Simple edit score, Progressive alignment with LCS"
30478,get at,4,g o t _ a t,2 3 5 12 13 14,"""- g - t - a t -""","""- o - _ -""","Simple edit score, Progressive alignment",30478,get at,4,g o t _ a t,2 3 5 12 13 14,"""- g - t - a t -""","""- o - _ -""","Simple edit score, Progressive alignment with LCS"
30479,get at,5,g o t t e n _ a t,2 3 5 6 8 9 12 13 14,"""- g - t - a t -""","""- o - t e n _ -""","Simple edit score, Progressive alignment",30479,get at,5,g o t t e n _ a t,2 3 5 6 8 9 12 13 14,"""- g - t - a t -""","""- o - t e n _ -""","Simple edit score, Progressive alignment with LCS"
30480,get at,6,u n - g e t - a t - a b l e,0 1 2 4 5 13 14 15 16 17 18,"""- g - t - a t -""","""u n - e - a b l e""","Simple edit score, Progressive alignment",30480,get at,6,u n - g e t - a t - a b l e,0 1 2 4 5 13 14 15 16 17 18,"""- g - t - a t -""","""u n - e - a b l e""","Simple edit score, Progressive alignment with LCS"
45272,molten,0,m o l t e n,0 1 2 3 4 5,"""m o l t e n""","""-""","Simple edit score, Progressive alignment",45272,molten,0,m o l t e n,0 1 2 3 4 5,"""m o l t e n""","""-""","Simple edit score, Progressive alignment with LCS"
48847,ore,0,l e a d - o r e,0 1 2 3 4 5 6,"""- o r e -""","""l e a d -""","Simple edit score, Progressive alignment",48847,ore,0,l e a d - o r e,0 1 2 3 4 5 6,"""- o r e -""","""l e a d -""","Simple edit score, Progressive alignment with LCS"
48848,ore,1,o r e,4 5 6,"""- o r e -""","""-""","Simple edit score, Progressive alignment",48848,ore,1,o r e,4 5 6,"""- o r e -""","""-""","Simple edit score, Progressive alignment with LCS"
48849,ore,2,o r e s,4 5 6 7,"""- o r e -""","""- s""","Simple edit score, Progressive alignment",48849,ore,2,o r e s,4 5 6 7,"""- o r e -""","""- s""","Simple edit score, Progressive alignment with LCS"
49489,pair off,0,p a i r _ o f f,0 1 2 3 10 11 12 13,"""p a i r - _ o f f""","""-""","Simple edit score, Progressive alignment",49489,pair off,0,p a i r _ o f f,0 1 2 3 10 11 12 13,"""p a i r - _ o f f""","""-""","Simple edit score, Progressive alignment with LCS"
49490,pair off,1,p a i r e d _ o f f,0 1 2 3 7 8 10 11 12 13,"""p a i r - _ o f f""","""- e d -""","Simple edit score, Progressive alignment",49490,pair off,1,p a i r e d _ o f f,0 1 2 3 7 8 10 11 12 13,"""p a i r - _ o f f""","""- e d -""","Simple edit score, Progressive alignment with LCS"
49491,pair off,2,p a i r i n g _ o f f,0 1 2 3 4 5 6 10 11 12 13,"""p a i r - _ o f f""","""- i n g -""","Simple edit score, Progressive alignment",49491,pair off,2,p a i r i n g _ o f f,0 1 2 3 4 5 6 10 11 12 13,"""p a i r - _ o f f""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
49492,pair off,3,p a i r s _ o f f,0 1 2 3 9 10 11 12 13,"""p a i r - _ o f f""","""- s -""","Simple edit score, Progressive alignment",49492,pair off,3,p a i r s _ o f f,0 1 2 3 9 10 11 12 13,"""p a i r - _ o f f""","""- s -""","Simple edit score, Progressive alignment with LCS"
58905,render into,0,r e n d e r _ i n t o,0 1 2 3 4 5 12 13 14 15 16,"""r e n d e r - _ i n t o""","""-""","Simple edit score, Progressive alignment",58905,render into,0,r e n d e r _ i n t o,0 1 2 3 4 5 12 13 14 15 16,"""r e n d e r - _ i n t o""","""-""","Simple edit score, Progressive alignment with LCS"
58906,render into,1,r e n d e r e d _ i n t o,0 1 2 3 4 5 9 10 12 13 14 15 16,"""r e n d e r - _ i n t o""","""- e d -""","Simple edit score, Progressive alignment",58906,render into,1,r e n d e r e d _ i n t o,0 1 2 3 4 5 9 10 12 13 14 15 16,"""r e n d e r - _ i n t o""","""- e d -""","Simple edit score, Progressive alignment with LCS"
58907,render into,2,r e n d e r i n g _ i n t o,0 1 2 3 4 5 6 7 8 12 13 14 15 16,"""r e n d e r - _ i n t o""","""- i n g -""","Simple edit score, Progressive alignment",58907,render into,2,r e n d e r i n g _ i n t o,0 1 2 3 4 5 6 7 8 12 13 14 15 16,"""r e n d e r - _ i n t o""","""- i n g -""","Simple edit score, Progressive alignment with LCS"
58908,render into,3,r e n d e r s _ i n t o,0 1 2 3 4 5 11 12 13 14 15 16,"""r e n d e r - _ i n t o""","""- s -""","Simple edit score, Progressive alignment",58908,render into,3,r e n d e r s _ i n t o,0 1 2 3 4 5 11 12 13 14 15 16,"""r e n d e r - _ i n t o""","""- s -""","Simple edit score, Progressive alignment with LCS"
66669,sleeping partner,0,s l e e p i n g _ p a r t n e r,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,"""s l e e p i n g _ p a r t n e r -""","""-""","Simple edit score, Progressive alignment",66669,sleeping partner,0,s l e e p i n g _ p a r t n e r,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15,"""s l e e p i n g _ p a r t n e r -""","""-""","Simple edit score, Progressive alignment with LCS"
66670,sleeping partner,1,s l e e p i n g _ p a r t n e r s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""s l e e p i n g _ p a r t n e r -""","""- s""","Simple edit score, Progressive alignment",66670,sleeping partner,1,s l e e p i n g _ p a r t n e r s,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16,"""s l e e p i n g _ p a r t n e r -""","""- s""","Simple edit score, Progressive alignment with LCS"
59473,revenge on,0,r e v e n g e _ o n,0 1 2 3 7 8 9 12 13 14,"""r e v e - n g - _ o n""","""- e -""","Simple edit score, Progressive alignment",59473,revenge on,0,r e v e n g e _ o n,0 1 2 3 7 8 9 12 13 14,"""r e v e - n g - _ o n""","""- e -""","Simple edit score, Progressive alignment with LCS"
59474,revenge on,1,r e v e n g e d _ o n,0 1 2 3 7 8 9 11 12 13 14,"""r e v e - n g - _ o n""","""- e d -""","Simple edit score, Progressive alignment",59474,revenge on,1,r e v e n g e d _ o n,0 1 2 3 7 8 9 11 12 13 14,"""r e v e - n g - _ o n""","""- e d -""","Simple edit score, Progressive alignment with LCS"
59475,revenge on,2,r e v e n g e s _ o n,0 1 2 3 7 8 9 10 12 13 14,"""r e v e - n g - _ o n""","""- e s -""","Simple edit score, Progressive alignment",59475,revenge on,2,r e v e n g e s _ o n,0 1 2 3 7 8 9 10 12 13 14,"""r e v e - n g - _ o n""","""- e s -""","Simple edit score, Progressive alignment with LCS"
59476,revenge on,3,r e v e n g i n g _ o n,0 1 2 3 4 5 6 7 8 12 13 14,"""r e v e - n g - _ o n""","""- n g i -""","Simple edit score, Progressive alignment",59476,revenge on,3,r e v e n g i n g _ o n,0 1 2 3 4 5 6 7 8 12 13 14,"""r e v e - n g - _ o n""","""- n g i -""","Simple edit score, Progressive alignment with LCS"
56259,pullout,0,p u l l o u t,0 1 2 3 4 5 6,"""p u l l o u t -""","""-""","Simple edit score, Progressive alignment",56259,pullout,0,p u l l o u t,0 1 2 3 4 5 6,"""p u l l o u t -""","""-""","Simple edit score, Progressive alignment with LCS"
56260,pullout,1,p u l l o u t s,0 1 2 3 4 5 6 7,"""p u l l o u t -""","""- s""","Simple edit score, Progressive alignment",56260,pullout,1,p u l l o u t s,0 1 2 3 4 5 6 7,"""p u l l o u t -""","""- s""","Simple edit score, Progressive alignment with LCS"
72873,swindle,0,s w i n d l e,0 1 2 3 4 5 9,"""s w i n d l -""","""- e""","Simple edit score, Progressive alignment",72873,swindle,0,s w i n d l e,0 1 2 3 4 5 9,"""s w i n d l -""","""- e""","Simple edit score, Progressive alignment with LCS"
72874,swindle,1,s w i n d l e d,0 1 2 3 4 5 9 12,"""s w i n d l -""","""- e d""","Simple edit score, Progressive alignment",72874,swindle,1,s w i n d l e d,0 1 2 3 4 5 9 12,"""s w i n d l -""","""- e d""","Simple edit score, Progressive alignment with LCS"
72875,swindle,2,s w i n d l e r,0 1 2 3 4 5 9 10,"""s w i n d l -""","""- e r""","Simple edit score, Progressive alignment",72875,swindle,2,s w i n d l e r,0 1 2 3 4 5 9 10,"""s w i n d l -""","""- e r""","Simple edit score, Progressive alignment with LCS"
72876,swindle,3,s w i n d l e r s,0 1 2 3 4 5 9 10 11,"""s w i n d l -""","""- e r s""","Simple edit score, Progressive alignment",72876,swindle,3,s w i n d l e r s,0 1 2 3 4 5 9 10 11,"""s w i n d l -""","""- e r s""","Simple edit score, Progressive alignment with LCS"
72877,swindle,4,s w i n d l e s,0 1 2 3 4 5 9 11,"""s w i n d l -""","""- e s""","Simple edit score, Progressive alignment",72877,swindle,4,s w i n d l e s,0 1 2 3 4 5 9 11,"""s w i n d l -""","""- e s""","Simple edit score, Progressive alignment with LCS"
72878,swindle,5,s w i n d l i n g,0 1 2 3 4 5 6 7 8,"""s w i n d l -""","""- i n g""","Simple edit score, Progressive alignment",72878,swindle,5,s w i n d l i n g,0 1 2 3 4 5 6 7 8,"""s w i n d l -""","""- i n g""","Simple edit score, Progressive alignment with LCS"
42911,malapropos,0,m a l a p r o p o s,0 1 2 3 4 5 6 7 8 9,"""m a l a p r o p o s""","""-""","Simple edit score, Progressive alignment",42911,malapropos,0,m a l a p r o p o s,0 1 2 3 4 5 6 7 8 9,"""m a l a p r o p o s""","""-""","Simple edit score, Progressive alignment with LCS"
24451,epaulet,0,e p a u l e t,0 1 2 3 4 5 6,"""e p a u l e t -""","""-""","Simple edit score, Progressive alignment",24451,epaulet,0,e p a u l e t,0 1 2 3 4 5 6,"""e p a u l e t -""","""-""","Simple edit score, Progressive alignment with LCS"
24452,epaulet,1,e p a u l e t s,0 1 2 3 4 5 6 7,"""e p a u l e t -""","""- s""","Simple edit score, Progressive alignment",24452,epaulet,1,e p a u l e t s,0 1 2 3 4 5 6 7,"""e p a u l e t -""","""- s""","Simple edit score, Progressive alignment with LCS"
